slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
hardeja01,James Harden,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1841,16,24,8,14,20,23,0,3,8,3,1,5,3,52.4,50.0
youngtr01,Trae Young,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1883,10,16,5,9,12,13,0,3,7,0,0,3,0,32.2,-24.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1996,8,15,1,2,15,15,1,10,4,3,1,2,3,31.7,8.0
brogdma01,Malcolm Brogdon,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,2266,9,15,2,5,8,8,0,4,6,1,0,4,2,22.7,-1.0
harriga01,Gary Harris,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,2254,8,16,4,9,5,6,2,1,1,3,2,0,3,22.2,-7.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1177,11,19,1,5,3,7,3,6,4,1,0,1,1,21.8,23.0
barneha02,Harrison Barnes,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,2726,10,19,1,4,9,10,1,4,1,2,0,3,1,21.5,17.0
mclembe01,Ben McLemore,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,2032,9,14,6,11,0,0,0,13,1,1,0,1,3,21.2,38.0
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,2266,4,13,0,1,7,7,1,5,13,4,1,3,3,19.3,1.0
warretj01,T.J. Warren,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1922,11,19,4,4,3,3,1,3,1,1,0,3,3,19.2,-3.0
grahade01,Devonte' Graham,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1712,10,18,4,9,0,0,1,3,5,0,0,1,1,19.1,-13.0
horfoal01,Al Horford,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1921,6,8,3,4,0,0,0,3,3,1,1,1,0,15.5,2.0
roziete01,Terry Rozier,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1818,7,17,5,8,0,0,2,4,2,2,0,0,2,15.1,-32.0
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,2428,7,20,3,13,4,5,0,7,3,2,1,1,3,14.1,11.0
lopezro01,Robin Lopez,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1412,5,9,3,5,0,0,1,5,4,0,3,2,0,13.8,23.0
harrito02,Tobias Harris,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,2182,8,16,1,2,5,6,0,4,2,0,1,2,4,13.3,5.0
holmeri01,Richaun Holmes,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,2197,6,9,0,0,1,2,3,7,2,1,1,1,6,12.6,21.0
westbru01,Russell Westbrook,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1601,6,11,1,1,2,2,1,7,8,0,0,4,4,12.5,36.0
riverau01,Austin Rivers,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1909,5,12,2,6,2,3,3,3,4,1,0,0,5,12.0,21.0
hillge01,George Hill,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,921,4,5,2,3,0,0,0,0,4,1,0,0,0,11.9,0.0
lambje01,Jeremy Lamb,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,2028,5,9,1,1,4,6,0,4,5,1,1,4,1,11.9,5.0
holidju01,Justin Holiday,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1652,4,5,2,3,0,0,0,1,1,2,2,0,2,11.7,1.0
ilyaser01,Ersan İlyasova,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,935,3,3,2,2,3,4,1,2,1,0,0,0,0,11.7,5.0
connapa01,Pat Connaughton,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1169,3,4,0,1,0,0,1,9,6,0,0,0,1,11.6,18.0
tuckepj01,P.J. Tucker,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1784,2,3,2,3,4,4,3,4,3,0,0,2,2,11.3,39.0
murraja01,Jamal Murray,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,2213,6,16,1,5,2,2,0,4,6,2,0,2,2,10.8,-5.0
matthwe02,Wesley Matthews,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1280,5,9,3,6,1,1,0,3,0,0,0,0,0,10.6,30.0
clemoch01,Chris Clemons,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,922,6,10,4,8,0,0,0,0,0,0,0,1,1,10.0,-3.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,966,7,14,0,2,1,1,1,3,3,1,0,2,2,9.9,-1.0
bledser01,Eric Bledsoe,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1357,1,2,0,0,0,0,0,4,10,1,0,0,1,9.8,29.0
beaslma01,Malik Beasley,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,1219,4,8,3,3,0,0,0,0,3,1,0,0,1,9.7,2.0
bartowi01,Will Barton,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,2443,6,15,1,6,1,2,2,10,5,2,0,5,2,9.6,5.0
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,2061,5,16,1,4,4,4,3,5,2,0,0,1,2,9.0,-38.0
sefolth01,Thabo Sefolosha,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1023,3,4,1,2,0,0,1,2,1,2,0,0,1,9.0,2.0
korkmfu01,Furkan Korkmaz,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1333,4,9,3,7,1,2,0,0,0,2,0,0,0,8.9,-5.0
divindo01,Donte DiVincenzo,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1184,4,6,2,3,0,0,0,6,0,1,0,1,1,8.8,24.0
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1939,4,7,0,1,5,6,1,9,5,0,0,5,6,8.8,-12.0
bendedr01,Dragan Bender,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,811,5,7,2,4,0,0,0,1,1,0,0,0,4,8.5,16.0
wilsodj01,D.J. Wilson,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1425,4,9,3,8,0,0,0,3,3,0,0,0,2,8.5,15.0
parkeja01,Jabari Parker,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1208,5,8,1,4,0,0,0,3,2,1,0,2,1,8.3,-33.0
zelleco01,Cody Zeller,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1198,4,8,1,2,2,2,3,2,0,0,0,1,1,8.3,-20.0
ennisja01,James Ennis III,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1600,3,7,2,3,1,2,1,3,2,2,1,2,2,7.8,-2.0
grantje01,Jerami Grant,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,1945,4,9,2,4,2,2,0,5,0,0,0,0,3,7.6,-9.0
lenal01,Alex Len,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,919,6,7,0,0,0,0,0,1,0,0,0,1,3,7.6,-8.0
bjeline01,Nemanja Bjelica,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1502,3,11,1,1,3,3,6,6,5,0,1,5,4,7.1,-13.0
huntede01,De'Andre Hunter,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1743,5,15,3,9,1,1,1,4,1,1,0,0,5,7.1,-25.0
jamesju01,Justin James,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1532,3,9,0,3,0,0,1,6,2,2,1,0,1,7.1,-8.0
willima02,Marvin Williams,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1118,2,6,2,5,0,0,0,6,3,1,1,0,3,7.0,3.0
harteis01,Isaiah Hartenstein,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1247,3,5,0,1,1,2,3,2,2,1,1,2,4,6.5,15.0
plumlma01,Mason Plumlee,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,991,3,4,0,0,2,5,1,7,0,1,1,2,3,6.5,0.0
mcderdo01,Doug McDermott,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1122,3,4,2,3,0,0,1,0,0,0,0,0,2,6.3,-2.0
jonesda03,Damian Jones,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,864,3,4,0,0,2,3,1,0,1,0,0,0,4,5.8,-23.0
netora01,Raul Neto,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,614,2,3,0,1,1,2,1,1,2,0,0,0,0,5.7,2.0
crabbal01,Allen Crabbe,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1438,2,5,2,5,0,0,0,1,2,1,0,0,1,5.6,-12.0
josepco01,Cory Joseph,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,2436,2,5,1,1,1,1,0,3,3,2,0,2,2,5.5,10.0
mccontj01,T.J. McConnell,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,676,3,5,0,0,0,0,0,2,3,0,0,1,1,5.0,-4.0
hernawi01,Willy Hernangómez,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,533,2,3,0,1,1,2,4,5,0,0,0,2,2,4.8,-6.0
clarkga01,Gary Clark,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1465,1,5,1,5,0,0,2,4,3,0,0,0,0,4.6,18.0
fernabr01,Bruno Fernando,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,927,2,4,1,1,1,2,3,0,1,0,0,2,0,4.4,-7.0
korveky01,Kyle Korver,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1161,1,5,1,3,0,0,0,4,3,2,0,1,0,4.2,11.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,2189,3,11,0,3,1,2,3,7,6,0,1,4,3,4.0,-3.0
thybuma01,Matisse Thybulle,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1192,2,3,1,1,0,0,0,1,0,0,0,0,2,3.2,3.0
bogdabo01,Bogdan Bogdanović,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1723,4,16,2,8,0,0,2,2,5,0,0,2,2,3.1,2.0
chandty01,Tyson Chandler,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,576,1,1,0,0,0,0,0,1,0,1,0,0,0,3.0,19.0
ferreyo01,Yogi Ferrell,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,622,1,3,0,1,0,0,0,1,1,2,0,0,1,2.9,-7.0
hernaju01,Juancho Hernangómez,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,444,0,1,0,1,1,2,0,3,1,0,1,0,0,2.2,-6.0
masonfr01,Frank Mason III,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,602,1,4,1,2,1,2,0,0,2,0,0,0,1,2.2,12.0
wallaty01,Tyrone Wallace,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,997,2,7,1,4,0,0,0,3,0,0,1,0,1,2.1,-23.0
washipj01,P.J. Washington,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1951,3,12,1,5,0,0,2,3,3,0,0,1,3,2.0,-39.0
millspa01,Paul Millsap,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,1235,2,4,0,0,0,0,1,1,0,2,0,2,3,1.8,6.0
parsoch01,Chandler Parsons,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,980,1,5,1,5,0,0,0,1,2,1,0,0,2,1.8,-16.0
turneev01,Evan Turner,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,935,0,4,0,1,0,0,1,0,4,1,1,1,1,1.0,-20.0
cartevi01,Vince Carter,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1114,1,5,1,5,1,2,0,2,2,0,0,1,2,0.7,-13.0
scottmi01,Mike Scott,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1296,1,3,0,2,2,2,0,1,1,0,0,2,2,0.5,1.0
monkma01,Malik Monk,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1441,2,7,1,5,0,0,0,2,1,0,0,1,2,0.4,-8.0
holidaa01,Aaron Holiday,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,739,2,3,0,1,0,0,0,0,0,0,0,2,1,0.3,-4.0
bacondw01,Dwayne Bacon,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1182,1,6,0,3,0,0,0,4,1,1,0,1,0,0.1,-20.0
dedmode01,Dewayne Dedmon,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,734,1,4,0,2,0,0,0,1,0,1,0,0,3,-0.3,-18.0
bembrde01,DeAndre' Bembry,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1392,1,9,0,3,3,4,2,3,4,0,0,3,3,-0.4,-31.0
bitadgo01,Goga Bitadze,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,321,0,1,0,1,0,0,0,2,0,0,0,0,1,-0.5,-1.0
turnemy01,Myles Turner,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1735,1,8,0,3,1,2,0,3,1,2,0,0,5,-1.0,6.0
biyombi01,Bismack Biyombo,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,600,0,3,0,0,0,0,0,2,2,0,0,1,1,-1.5,-15.0
batumni01,Nicolas Batum,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,786,1,5,0,3,0,0,0,2,2,0,0,3,1,-2.5,-17.0
morrimo01,Monte Morris,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,967,0,3,0,1,0,0,0,1,1,0,0,1,1,-2.5,2.0
